Time,Sentiment
2019-11-21 11:24:06.806182,Negative
2019-11-21 11:24:07.863352,Neutral
2019-11-21 11:24:08.927688,Positive
2019-11-21 11:24:09.990589,Neutral
2019-11-21 11:24:11.052044,Negative
2019-11-21 11:24:12.113158,Neutral
2019-11-21 11:24:13.197489,Negative
2019-11-21 11:24:14.258566,Neutral
2019-11-21 11:24:15.314532,Positive
2019-11-21 11:24:16.386395,Positive
2019-11-21 11:24:17.441274,Neutral
2019-11-21 11:24:18.555895,Negative
2019-11-21 11:24:19.593185,Neutral
2019-11-21 11:24:20.636740,Positive
2019-11-21 11:24:21.679991,Negative
2019-11-21 11:24:22.752593,Negative
2019-11-21 11:24:23.819169,Positive
2019-11-21 11:24:24.894057,Neutral
2019-11-21 11:24:25.961817,Positive
2019-11-21 11:24:27.012641,Positive
2019-11-21 11:24:28.080006,Negative
2019-11-21 11:24:29.167425,Positive
2019-11-21 11:24:30.224425,Positive
2019-11-21 11:24:31.321673,Negative
2019-11-21 11:24:32.402605,Positive
2019-11-21 11:24:33.480714,Negative
2019-11-21 11:24:34.578241,Positive
2019-11-21 11:24:35.658231,Neutral
2019-11-21 11:24:36.729883,Positive
2019-11-21 11:24:37.764627,Neutral
2019-11-21 11:24:38.827296,Neutral
2019-11-21 11:24:39.876008,Positive
2019-11-21 11:24:40.907353,Negative
2019-11-21 11:24:41.937826,Neutral
2019-11-21 11:24:42.997796,Positive
2019-11-21 11:24:44.062701,Neutral
2019-11-21 11:24:45.110893,Neutral
2019-11-21 11:24:46.172516,Negative
2019-11-21 11:24:47.228045,Positive
2019-11-21 11:24:48.305329,Negative
2019-11-21 11:24:49.376768,Negative
2019-11-21 11:24:50.452108,Neutral
2019-11-21 11:24:51.501774,Neutral
Time,Sentiment
2019-11-21 11:24:55.327662,Positive
2019-11-21 11:24:56.402824,Negative
2019-11-21 11:24:57.476015,Positive
2019-11-21 11:24:58.546082,Positive
2019-11-21 11:24:59.597033,Neutral
2019-11-21 11:25:00.639122,Positive
2019-11-21 11:25:01.673824,Positive
2019-11-21 11:25:02.738638,Positive
2019-11-21 11:25:03.806113,Positive
2019-11-21 11:25:04.871781,Neutral
2019-11-21 11:25:05.944980,Negative
2019-11-21 11:25:06.998659,Neutral
2019-11-21 11:25:08.073912,Positive
2019-11-21 11:25:09.140025,Negative
2019-11-21 11:25:10.207642,Neutral
2019-11-21 11:25:11.283831,Neutral
2019-11-21 11:25:12.348148,Positive
2019-11-21 11:25:13.424131,Negative
2019-11-21 11:25:14.491761,Neutral
2019-11-21 11:25:15.563938,Positive
2019-11-21 11:25:16.635134,Neutral
2019-11-21 11:25:17.667811,Negative
2019-11-21 11:25:18.734840,Negative
2019-11-21 11:25:19.811830,Positive
Time,Sentiment
2019-11-21 11:25:23.611454,Positive
2019-11-21 11:25:24.668394,Neutral
2019-11-21 11:25:25.744344,Positive
2019-11-21 11:25:26.817951,Positive
2019-11-21 11:25:27.862206,Positive
2019-11-21 11:25:28.895058,Negative
2019-11-21 11:25:29.989345,Positive
2019-11-21 11:25:31.062306,Positive
2019-11-21 11:25:32.127911,Negative
2019-11-21 11:25:33.195099,Positive
2019-11-21 11:25:34.246089,Positive
2019-11-21 11:25:35.314651,Neutral
2019-11-21 11:25:36.386301,Neutral
2019-11-21 11:25:37.446109,Positive
2019-11-21 11:25:38.481130,Positive
2019-11-21 11:25:39.547165,Neutral
2019-11-21 11:25:40.609034,Negative
Time,Sentiment
2019-11-21 11:28:41.182417,Neutral
2019-11-21 11:28:42.248769,Positive
2019-11-21 11:28:43.308424,Negative
2019-11-21 11:28:44.380920,Positive
2019-11-21 11:28:45.448165,Positive
2019-11-21 11:28:46.513675,Positive
2019-11-21 11:28:47.590587,Positive
2019-11-21 11:28:48.634204,Negative
2019-11-21 11:28:49.695322,Positive
2019-11-21 11:28:50.751903,Positive
2019-11-21 11:28:51.803507,Negative
2019-11-21 11:28:52.860718,Positive
2019-11-21 11:28:53.913634,Positive
2019-11-21 11:28:54.972525,Positive
2019-11-21 11:28:56.030802,Neutral
2019-11-21 11:28:57.113703,Positive
2019-11-21 11:28:58.167937,Neutral
2019-11-21 11:28:59.254147,Negative
2019-11-21 11:29:00.320920,Neutral
2019-11-21 11:29:01.385215,Positive
2019-11-21 11:29:02.455421,Positive
2019-11-21 11:29:03.494061,Negative
2019-11-21 11:29:04.578672,Neutral
2019-11-21 11:29:05.655379,Negative
2019-11-21 11:29:06.712767,Negative
2019-11-21 11:29:07.784572,Negative
2019-11-21 11:29:08.842713,Negative
2019-11-21 11:29:09.923776,Neutral
2019-11-21 11:29:10.990418,Negative
2019-11-21 11:29:12.053347,Negative
2019-11-21 11:29:13.105123,Negative
2019-11-21 11:29:14.166220,Positive
2019-11-21 11:29:15.234700,Neutral
2019-11-21 11:29:16.299333,Negative
2019-11-21 11:29:17.350307,Positive
2019-11-21 11:29:18.422234,Negative
2019-11-21 11:29:19.492506,Positive
2019-11-21 11:29:20.566607,Neutral
2019-11-21 11:29:21.625147,Positive
2019-11-21 11:29:22.691955,Negative
2019-11-21 11:29:23.748498,Positive
2019-11-21 11:29:24.829070,Positive
2019-11-21 11:29:25.893582,Positive
2019-11-21 11:29:26.944402,Negative
2019-11-21 11:29:27.972288,Positive
2019-11-21 11:29:29.032792,Negative
2019-11-21 11:29:30.098864,Positive
2019-11-21 11:29:31.164925,Negative
2019-11-21 11:29:32.242780,Neutral
2019-11-21 11:29:33.342038,Positive
2019-11-21 11:29:34.373108,Neutral
Time,Sentiment
2019-11-21 11:29:35.441803,Negative
2019-11-21 11:29:36.010947,Negative
2019-11-21 11:29:36.502780,Positive
2019-11-21 11:29:37.086933,Negative
2019-11-21 11:29:37.571457,Negative
2019-11-21 11:29:38.142501,Positive
2019-11-21 11:29:38.636700,Neutral
2019-11-21 11:29:39.196774,Positive
2019-11-21 11:29:39.700775,Neutral
2019-11-21 11:29:40.263553,Neutral
2019-11-21 11:29:40.764008,Positive
2019-11-21 11:29:41.340954,Neutral
2019-11-21 11:29:41.829986,Negative
2019-11-21 11:29:42.417438,Positive
2019-11-21 11:29:42.918134,Positive
2019-11-21 11:29:43.485236,Negative
2019-11-21 11:29:43.979961,Positive
2019-11-21 11:29:44.540770,Positive
2019-11-21 11:29:45.052314,Positive
2019-11-21 11:29:45.616509,Neutral
2019-11-21 11:29:46.113566,Neutral
2019-11-21 11:29:46.685896,Negative
2019-11-21 11:29:47.157956,Negative
2019-11-21 11:29:47.747986,Neutral
2019-11-21 11:29:48.244181,Negative
2019-11-21 11:29:48.809852,Positive
2019-11-21 11:29:49.310705,Positive
2019-11-21 11:29:49.879240,Neutral
2019-11-21 11:29:50.377258,Neutral
2019-11-21 11:29:50.941399,Neutral
2019-11-21 11:29:51.448867,Neutral
2019-11-21 11:29:52.002434,Negative
2019-11-21 11:29:52.525666,Neutral
2019-11-21 11:29:53.065975,Negative
2019-11-21 11:29:53.601814,Positive
2019-11-21 11:29:54.101801,Negative
2019-11-21 11:29:54.664812,Positive
2019-11-21 11:29:55.183072,Positive
2019-11-21 11:29:55.731718,Positive
2019-11-21 11:29:56.261177,Negative
2019-11-21 11:29:56.799917,Neutral
2019-11-21 11:29:57.329493,Neutral
2019-11-21 11:29:57.864630,Positive
2019-11-21 11:29:58.403409,Positive
2019-11-21 11:29:58.955813,Negative
2019-11-21 11:29:59.464107,Neutral
2019-11-21 11:30:00.037657,Negative
2019-11-21 11:30:00.541298,Neutral
2019-11-21 11:30:01.107798,Negative
2019-11-21 11:30:01.610606,Negative
2019-11-21 11:30:02.160415,Neutral
2019-11-21 11:30:02.684709,Negative
2019-11-21 11:30:03.231199,Negative
2019-11-21 11:30:03.752225,Neutral
2019-11-21 11:30:04.287782,Positive
2019-11-21 11:30:04.802649,Positive
2019-11-21 11:30:05.360354,Negative
2019-11-21 11:30:05.874208,Negative
2019-11-21 11:30:06.428345,Positive
2019-11-21 11:30:06.938115,Negative
2019-11-21 11:30:07.482181,Positive
2019-11-21 11:30:08.014489,Negative
2019-11-21 11:30:08.550084,Neutral
2019-11-21 11:30:09.057003,Positive
2019-11-21 11:30:09.616346,Negative
2019-11-21 11:30:10.117761,Neutral
2019-11-21 11:30:10.674251,Neutral
2019-11-21 11:30:11.182240,Neutral
2019-11-21 11:30:11.734834,Positive
2019-11-21 11:30:12.250054,Positive
2019-11-21 11:30:12.793636,Positive
2019-11-21 11:30:13.304180,Neutral
2019-11-21 11:30:13.858000,Positive
2019-11-21 11:30:14.366352,Neutral
2019-11-21 11:30:14.928718,Positive
2019-11-21 11:30:15.441195,Neutral
2019-11-21 11:30:15.951205,Neutral
2019-11-21 11:30:16.502295,Negative
2019-11-21 11:30:17.033619,Neutral
2019-11-21 11:30:17.567720,Neutral
2019-11-21 11:30:18.089608,Neutral
2019-11-21 11:30:18.627695,Positive
2019-11-21 11:30:19.158720,Positive
2019-11-21 11:30:19.705612,Negative
2019-11-21 11:30:20.259690,Negative
2019-11-21 11:30:20.764186,Positive
2019-11-21 11:30:21.332509,Positive
2019-11-21 11:30:21.832076,Neutral
2019-11-21 11:30:22.409160,Negative
2019-11-21 11:30:22.879506,Neutral
2019-11-21 11:30:23.481516,Positive
2019-11-21 11:30:23.976848,Positive
2019-11-21 11:30:24.533602,Negative
2019-11-21 11:30:25.058443,Positive
2019-11-21 11:30:25.622056,Neutral
2019-11-21 11:30:26.111093,Positive
2019-11-21 11:30:26.692053,Positive
2019-11-21 11:30:27.181508,Negative
2019-11-21 11:30:27.778899,Neutral
2019-11-21 11:30:28.255088,Positive
2019-11-21 11:30:28.843983,Negative
2019-11-21 11:30:29.325054,Negative
2019-11-21 11:30:29.916321,Neutral
2019-11-21 11:30:30.392934,Neutral
2019-11-21 11:30:30.962587,Negative
2019-11-21 11:30:31.468464,Positive
2019-11-21 11:30:32.044057,Neutral
2019-11-21 11:30:32.529234,Neutral
2019-11-21 11:30:33.099386,Neutral
2019-11-21 11:30:33.603498,Neutral
2019-11-21 11:30:34.160428,Negative
2019-11-21 11:30:34.678986,Negative
2019-11-21 11:30:35.235637,Positive
2019-11-21 11:30:35.753168,Negative
2019-11-21 11:30:36.312007,Neutral
2019-11-21 11:30:36.828683,Negative
2019-11-21 11:30:37.404351,Negative
2019-11-21 11:30:37.951253,Neutral
2019-11-21 11:30:38.460915,Neutral
2019-11-21 11:30:39.047159,Positive
2019-11-21 11:30:39.504146,Neutral
2019-11-21 11:30:40.089854,Positive
2019-11-21 11:30:40.574918,Positive
2019-11-21 11:30:41.147714,Neutral
2019-11-21 11:30:41.641134,Negative
2019-11-21 11:30:42.209101,Neutral
2019-11-21 11:30:42.697873,Positive
2019-11-21 11:30:43.280039,Positive
2019-11-21 11:30:43.748213,Positive
2019-11-21 11:30:44.364211,Negative
2019-11-21 11:30:44.825400,Negative
2019-11-21 11:30:45.429876,Negative
2019-11-21 11:30:45.903799,Negative
2019-11-21 11:30:46.512226,Positive
2019-11-21 11:30:46.975230,Positive
2019-11-21 11:30:47.571086,Positive
2019-11-21 11:30:48.062972,Positive
2019-11-21 11:30:48.647783,Negative
2019-11-21 11:30:49.143521,Positive
2019-11-21 11:30:49.720217,Negative
2019-11-21 11:30:50.194515,Negative
2019-11-21 11:30:50.784467,Neutral
2019-11-21 11:30:51.263886,Neutral
2019-11-21 11:30:51.843277,Negative
2019-11-21 11:30:52.328150,Positive
2019-11-21 11:30:52.899069,Neutral
2019-11-21 11:30:53.392406,Neutral
2019-11-21 11:30:54.001801,Neutral
2019-11-21 11:30:55.073236,Positive
2019-11-21 11:30:56.156957,Negative
2019-11-21 11:30:57.246058,Neutral
2019-11-21 11:30:58.306988,Neutral
2019-11-21 11:30:59.368468,Negative
2019-11-21 11:31:00.440036,Negative
2019-11-21 11:31:01.488073,Neutral
2019-11-21 11:31:02.540281,Neutral
2019-11-21 11:31:03.609832,Neutral
2019-11-21 11:31:04.652523,Negative
2019-11-21 11:31:05.732031,Neutral
